título|language level|learners type|time minutes|topic|language|id
adjectives_kung_fu_panda_comented (1)|A2|Young learners: kids|90|Describing tasks|Adjectives|0_1NU60qHWs
adjectives_trolls_corrected|A2|Young learners: kids|90|Describing yourself and others|Adjectives|DNHmujbuC74
adverbs_pf_frequency_1_dragon_ball|A1|Young learners: kids|90|My vacation|Adverbs of frequency|g9WDeud275U
Aladdin_imperatives (7)|A1|Young learners|90|Wishes and orders|Imperatives|JcMtWwiyzpU
aladdin|A2|Young learners|90|Genies and magic|ModalVerbs – general|Cgp644Walyk
Alan_Turin(1) (1)|A2|Young learners|90|Alan turing|Simple past|41G7oY_qyw4
Barry_SimPre|A1|Middle school students|90|We are ready|Simple present|1CZ7mBSLH1c
can-_superman (1)|A1|Young learners: kids|90|Cellphones|Can|9B6DMShBV6k
can(1)(1)|A2|Young learners: kids|90|Music|Can|s19Fr-_WaXo
como_entrenar_a_tu_dragon_1 (1)|A2|Young learners|90|Dragons|Present perfect|cfaJ_1deY8M
Comparative1_-_supercafe corregido|A2|Young learners: kids|90|Superheroes|Comparatives|J3vDtZeo1YQ
conditional_0 (1)|A2|Young learners: teenagers|90|Water cycle|Conditional 0|zBnKgwnn7i4
experiments|A1|Young learners|90|Experiments|Imperatives|7-BYKKtXCGU
ferdinand_demostratives|A1|Young learners|90|Animals and pets|Demonstratives|4eaITAbJ7YM
Finding_Nemo_indefinite_pronouns|A1|Young learners|90|Lost|Making suggestions|udbUNzL7odo
Friends_Conditional|B1|Middle school students|90|Famous tv shows.|Second conditional|MEximmbljgY
harry_potter_3brothersstory_|A2|Young learners|90|Tales|Past simple|aJSh1zkPEvc
Have_Charlie (1)|A2|Middle school students|90|Movies|Use of -ing|GaogCmNpYtw
hearing|A1|Young learners|90|Hearing test|Conditional 0|VxcbppCX6Rk
imperative_shrek_correctec|A2|Young learners:kids|90|Giving instructions and making requests.|Imperative|mFl8nzZuExE
imperative_trolls_corrected (1)|A2|Young learners: kids|90|Giving instructions and making requests.|Imperative|En7TapBA84M
infinitives_fr_reasons_commented_corrected27marzo|A2|Young learners|90|Photosynthesis|Infinitives for reasons|JJxZH_Y5D4s
KaratePhrasalverbs|A2|Middle school students|90|Pick it up|Phrasal verbs|G6f0w5BRasw
Lion_king__third_person_present_simple(1)|A1|Young learners:kids|90|Actions|Present simple - third person|7TavVZMewpY
Oregon_Forest_present_con (1)|A1|Young learners|90|Obregon forest|Present continuous|MhV9r-PFj74
percy|B1|Young learners|90|Mythology|Phrasal verbs|w6aYjbpBm-E
pets_on.in(1)|A1|Young learners:kids|90|Animals & pets|Prepositions: on & in|LvsKyI3IW5E
present_cont_sponge_bob|A2|Young learners:kids|90|Making jokes|Present continuous|3FKMUa7vCZU
shazam(1) (1)|A2|Middle school students|90|Superheroes|Past simple|uilJZZ_iVwY
SHERLOCKWh|A2|Middle School Students|90|Who are you?|Wh Questions|Ho6t683GazQ
SP_Gru (1)|A2|Middle School Students|90|That Happened a Long Time Ago|Simple Past|KldF5IyMQ84
superlative__3_-_planets|A2|Young learners: kids|90|Solar system|Superlatives|libKVRa01L8
superlative_1-_toy_story (1)|A2|Young learners: kids|90|My favorite toy|Superlatives|w1rKocEL1Eg
superlative_2_-_sherk|A2|Young learners: kids|90|Describing and choosing the best|Superlative|H28TWyDJJ6I
the_hottest_place_on_Earth_1|B2|Young learners|90|The hottest place on Earth|undefined|gKYrXHZwtPw
there_is_-_there_are_animal_famiies|A1|Young learners: kids|90|Families|There is / There is|sGsTRkIJSDA
to_be_abominable|A1|Young learners|90|Friends|To Be|XrgVtuDRBjM
to_be_ralph(1) (1)|A1|Young learners: kids|90|Meeting people|To Be|Jh0cBfaT8Kw
tsunami-A1|A1&A2|Primary School|90|Tsunamis|Simple present|Wx9vPv-T51I
unless_The_Lorax|A2|Young learners|90|Geography & Environment|Unless|91wLY3h-rqk
Up_Could|A2|Middle school students|90|I could help you with that|Modal Could|ynrNTjS7ipk
V1|A1|Young learners: kids|90|Habits and routines|Present simple|Z4DDrBjEBHE
V2|A1&A2|Young learners: kids|30|Listen for details|Present continuous, Questions and replies|mL9hNsNSFTw
Video 1_ demonstratives_answers|A1|Young learners: kids|90|Demonstratives|Demonstratives (this/that)|KAVHS8d3evM
Video 2_ adverbs of frequency Winnie Pooh|A1|Young learners: kids|90|Friends|Adverbs of Frequency|hxFldthKoso
video_goingto_NEMO (1)|A1|Young learners: kids|90|Plans|Be going to|fMTHrvskSW8
White_Lion|A2|Young learners|90|White Lion|Passive voice|yyw-9qg97RQ
whquestions_cinderella|A2|Young learners|90|Fairy tales|Wh Question words|20DF6U1HcGQ
why_do_birds_fly_like_this_conditionals|B2|Young learners|90|Animals and pets|Conditionals 0, 1, 2, 3|_z1sWpfrKEE
Work_phrasal_verbs|B1|Middle school students|90|Work|Phrasal Verbs|3F-WSUSE2ss
