#numero de mapa mental|pregunta abierta|id
#adjectives_kung_fu_panda_comented (1)|
6|Fact A|0_1NU60qHWs
6|Fact B|0_1NU60qHWs
6|Fact C|0_1NU60qHWs
6|Fact D|0_1NU60qHWs
6|Fact E|0_1NU60qHWs
6|Fact F|0_1NU60qHWs
6|Fact G|0_1NU60qHWs
6|Opinion A|0_1NU60qHWs
6|Opinion B|0_1NU60qHWs
6|Opinion C|0_1NU60qHWs
6|Opinion D|0_1NU60qHWs
6|Opinion E|0_1NU60qHWs
6|Opinion F|0_1NU60qHWs
6|Opinion G|0_1NU60qHWs
#adjectives_trolls_corrected|
5|Topic a|DNHmujbuC74
5|Topic b|DNHmujbuC74
#adverbs_pf_frequency_1_dragon_ball
1|Who was involved?|g9WDeud275U
1|What happened?|g9WDeud275U
1|When did it happen?|g9WDeud275U
1|Where did it happen?|g9WDeud275U
1|Why did it happen?|g9WDeud275U
#aladdin
#Aladdin_imperatives (7)
11|Topic|JcMtWwiyzpU
11|Name |JcMtWwiyzpU
11|Date|JcMtWwiyzpU
11|1|JcMtWwiyzpU
11|2|JcMtWwiyzpU
11|3|JcMtWwiyzpU
11|4|JcMtWwiyzpU
11|5|JcMtWwiyzpU
11|6|JcMtWwiyzpU
11|7|JcMtWwiyzpU
11|8|JcMtWwiyzpU
11|9|JcMtWwiyzpU
#Alan_Turin(1) (1)|
14|Main idea|41G7oY_qyw4
14|Detail b|41G7oY_qyw4
14|Detail c|41G7oY_qyw4
#Barry_SimPre|
1|Who was involved?|1CZ7mBSLH1c
1|What happened?|1CZ7mBSLH1c
1|When did it happen?|1CZ7mBSLH1c
1|Where did it happen?|1CZ7mBSLH1c
1|Why did it happen?|1CZ7mBSLH1c
#can(1)(1)|
9|Main idea|s19Fr-_WaXo
9|Detail a|s19Fr-_WaXo
9|Detail b|s19Fr-_WaXo
9|Detail c|s19Fr-_WaXo
9|Detail d|s19Fr-_WaXo
#can-_superman (1)#solo descargable|
#como_entrenar_a_tu_dragon_1 (1)|
2|a|cfaJ_1deY8M
2|b|cfaJ_1deY8M
2|c|cfaJ_1deY8M
2|d|cfaJ_1deY8M
2|e|cfaJ_1deY8M
#|
11|Topic|cfaJ_1deY8M
11|Name|cfaJ_1deY8M
11|Date|cfaJ_1deY8M
11|1|cfaJ_1deY8M
11|2|cfaJ_1deY8M
11|3|cfaJ_1deY8M
11|4|cfaJ_1deY8M
11|5|cfaJ_1deY8M
11|6|cfaJ_1deY8M
11|7|cfaJ_1deY8M
11|8|cfaJ_1deY8M
11|9|cfaJ_1deY8M
#Comparative1_-_supercafe corregido|
4|Different a|J3vDtZeo1YQ
4|Same|J3vDtZeo1YQ
4|Different b|J3vDtZeo1YQ
#conditional_0 (1)|
5|Topic a|zBnKgwnn7i4
5|Topic b|zBnKgwnn7i4
#|
11|Topic|zBnKgwnn7i4
11|Name|zBnKgwnn7i4
11|Date|zBnKgwnn7i4
11|1|zBnKgwnn7i4
11|2|zBnKgwnn7i4
11|3|zBnKgwnn7i4
11|4|zBnKgwnn7i4
11|5|zBnKgwnn7i4
11|6|zBnKgwnn7i4
11|7|zBnKgwnn7i4
11|8|zBnKgwnn7i4
11|9|zBnKgwnn7i4
#experiments|
4|Different a|7-BYKKtXCGU
4|Same|7-BYKKtXCGU
4|Different b|7-BYKKtXCGU
#|
7|Put forward a problem or ask a question.|7-BYKKtXCGU
7|Do background research.|7-BYKKtXCGU
7|State your hypothesis.|7-BYKKtXCGU
7|Test your hypothesis by doing an experiment.|7-BYKKtXCGU
7|Collect and analyze data.|7-BYKKtXCGU
7|Draw conclusion.|7-BYKKtXCGU
#ferdinand_demostratives|
1|Who was involved?|4eaITAbJ7YM
1|What happened?|4eaITAbJ7YM
1|When did it happen?|4eaITAbJ7YM
1|Where did it happen?|4eaITAbJ7YM
1|Why did it happen?|4eaITAbJ7YM
#Finding_Nemo_indefinite_pronouns#descargable|
#Friends_Conditional|
1|Who was involved?|MEximmbljgY
1|What happened?|MEximmbljgY
1|When did it happen?|MEximmbljgY
1|Where did it happen?|MEximmbljgY
1|Why did it happen?|MEximmbljgY
#harry_potter_3brothersstory_#2descargables|
#Have_Charlie (1)|
1|Who was involved?|GaogCmNpYtw
1|What happened?|GaogCmNpYtw
1|When did it happen?|GaogCmNpYtw
1|Where did it happen?|GaogCmNpYtw
1|Why did it happen?|GaogCmNpYtw
#infinitives_fr_reasons_commented_corrected27marzo|
14|Main idea|JJxZH_Y5D4s
14|Detail a|JJxZH_Y5D4s
14|Detail b|JJxZH_Y5D4s
14|Detail c|JJxZH_Y5D4s
#|
6|Fact A|JJxZH_Y5D4s
6|Fact B|JJxZH_Y5D4s
6|Fact C|JJxZH_Y5D4s
6|Fact D|JJxZH_Y5D4s
6|Fact E|JJxZH_Y5D4s
6|Fact F|JJxZH_Y5D4s
6|Fact G|JJxZH_Y5D4s
6|Opinion A|JJxZH_Y5D4s
6|Opinion B|JJxZH_Y5D4s
6|Opinion C|JJxZH_Y5D4s
6|Opinion D|JJxZH_Y5D4s
6|Opinion E|JJxZH_Y5D4s
6|Opinion F|JJxZH_Y5D4s
6|Opinion G|JJxZH_Y5D4s
#KaratePhrasalverbs|
1|Who was involved?|G6f0w5BRasw
1|What happened?|G6f0w5BRasw
1|When did it happen?|G6f0w5BRasw
1|Where did it happen?|G6f0w5BRasw
1|Why did it happen?|G6f0w5BRasw
#Lion_king__third_person_present_simple(1)|
3|Date a|7TavVZMewpY
3|Event a|7TavVZMewpY
3|Date b|7TavVZMewpY
3|Event b|7TavVZMewpY
3|Date c|7TavVZMewpY
3|Event c|7TavVZMewpY
3|Date d|7TavVZMewpY
3|Event d|7TavVZMewpY
#Oregon_Forest_present_con (1)|
14|Main idea|MhV9r-PFj74
14|Detail a|MhV9r-PFj74
14|Detail b|MhV9r-PFj74
14|Detail c|MhV9r-PFj74
#|
4|Different a|MhV9r-PFj74
4|Same|MhV9r-PFj74
4|Different b|MhV9r-PFj74
#pets_on.in(1)|
1|Who was involved?|LvsKyI3IW5E
1|What happened?|LvsKyI3IW5E
1|When did it happen?|LvsKyI3IW5E
1|Where did it happen?|LvsKyI3IW5E
1|Why did it happen?|LvsKyI3IW5E
#shazam(1) (1)|
11|Topic|uilJZZ_iVwY
11|Name|uilJZZ_iVwY
11|Date|uilJZZ_iVwY
11|1|uilJZZ_iVwY
11|2|uilJZZ_iVwY
11|3|uilJZZ_iVwY
11|4|uilJZZ_iVwY
11|5|uilJZZ_iVwY
11|6|uilJZZ_iVwY
11|7|uilJZZ_iVwY
11|8|uilJZZ_iVwY
11|9|uilJZZ_iVwY
#SHERLOCKWh|
1|Who was involved?|Ho6t683GazQ
1|What happened?|Ho6t683GazQ
1|When did it happen?|Ho6t683GazQ
1|Where did it happen?|Ho6t683GazQ
1|Why did it happen?|Ho6t683GazQ
#|
